user_id,user_name,user_surname,password,email,number,user_age
1,nina,smith,P@ssw0rd1,nina.smith@example.com,555-1234,28
2,omar,johnson,Secr3t!23,omar.johnson@example.com,555-2345,34
3,lara,brown,MyPass#456,lara.brown@example.com,555-3456,22
4,ryan,davis,Pwd789$ryan,ryan.davis@example.com,555-4567,45
5,zoe,miller,Zo3Mil!23,zoe.miller@example.com,555-5678,31
6,liam,wilson,L1amW!lson,liam.wilson@example.com,555-6789,27
7,mia,moore,M!amoore99,mia.moore@example.com,555-7890,39
8,noah,taylor,N0ahT@ylor,noah.taylor@example.com,555-8901,24
9,ella,anderson,3ll@And#1,ella.anderson@example.com,555-9012,36
10,jace,thomas,Jac3T0mas!,jace.thomas@example.com,555-0123,29
11,nihat,mursalli,password123,nihatmursalli30@gmail.com,-762,16
12,nihat,mursalli,password123,nihatmursalli30@gmail.com,-762,16
